TOTAL REGISTERED VOTERS IN EACH POLLING UNIT IN KATSINA STATE AS AT 25/05/2022,,,,,,
,,,,,,
S/N,STATE,LGA,RA,PU,DELIM,TOTAL
254,KATSINA,BATAGARAWA,BATAGARAWA A,BAT DIISPENSARY - DISPENSARY,20-02-01-012,1032
255,KATSINA,BATAGARAWA,BATAGARAWA A,BAT F.C.E - FED COL. ED.,20-02-01-013,954
256,KATSINA,BATAGARAWA,BATAGARAWA A,POLY - POLY,20-02-01-014,1190
257,KATSINA,BATAGARAWA,BATAGARAWA A,MARNA ZANNABU - MARNA ZANNABU,20-02-01-015,866
258,KATSINA,BATAGARAWA,BATAGARAWA A,FAGE - FAGE O.S,20-02-01-016,791
259,KATSINA,BATAGARAWA,BATAGARAWA A,UWANTA DAGORA KWANTA DGOS,20-02-01-017,227
260,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA LOW COAST PRI. SCHOOL.,20-02-01-018,777
261,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA TOWN DISPENSARY,20-02-01-019,699
262,KATSINA,BATAGARAWA,BATAGARAWA A,FED. COL. OF ED - FECOLED,20-02-01-020,663
263,KATSINA,BATAGARAWA,BATAGARAWA A,KAWO - KAWO PRI. SCH. 'B',20-02-01-021,02
264,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA PRI. SCH. 'B',20-02-01-022,14
265,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA PRI. SCH. 'C',20-02-01-023,157
266,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA LOW-COST PRI. SCH. 'B',20-02-01-024,16
267,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA LOW-COST PRI. SCH. 'C',20-02-01-025,88
268,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA DISP. 'B',20-02-01-026,199
269,KATSINA,BATAGARAWA,BATAGARAWA A,BARMANI CHOGE QUARTERS PRI. SCH.,20-02-01-027,03
270,KATSINA,BATAGARAWA,BATAGARAWA A,SARDAUNA H/ESTATE OLD JUMA'AT MOSQUE,20-02-01-028,11
271,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA LOW-COST PRI. SCH. 'B',20-02-01-029,17
272,KATSINA,BATAGARAWA,BATAGARAWA B,GWAMMA TAWA GARI,20-02-02-001,468
273,KATSINA,BATAGARAWA,BATAGARAWA B,MAKADA,20-02-02-002,659
274,KATSINA,BATAGARAWA,BATAGARAWA B,DABAIBAYAWA PRI SCHOOL,20-02-02-003,1290
275,KATSINA,BATAGARAWA,BATAGARAWA B,BADO NORTH PRI. SCHOOL,20-02-02-004,853
276,KATSINA,BATAGARAWA,BATAGARAWA B,JILAWAR ANGO PRI. SCH.,20-02-02-005,516
277,KATSINA,BATAGARAWA,BATAGARAWA B,JILAWAR FARUN YAHAYA,20-02-02-006,397
278,KATSINA,BATAGARAWA,BATAGARAWA B,KAMFATAU - KAMFATAU O.S,20-02-02-007,512
279,KATSINA,BATAGARAWA,BATAGARAWA B,DABAIBAYAWA GABAS - D/GABAS O.S,20-02-02-008,568
280,KATSINA,BATAGARAWA,BATAGARAWA B,MAKADA - MAKADA O.S,20-02-02-009,632
281,KATSINA,BATAGARAWA,BATAGARAWA B,DABAIBAYAWA SOUTH - KG. KAIUVGUWA,20-02-02-010,491
282,KATSINA,BATAGARAWA,BATAGARAWA B,KAUYEN YAMMA -K/YAMMA O.S,20-02-02-011,1033
283,KATSINA,BATAGARAWA,BATAGARAWA B,DABAIBAYAWA DISPENSARY,20-02-02-012,02
284,KATSINA,BATAGARAWA,BATAGARAWA B,BADO DISPENSARY,20-02-02-013,00
285,KATSINA,BATAGARAWA,BATAGARAWA B,KAUYEN YAMMA BEHIND DISPENSARY,20-02-02-014,47
286,KATSINA,BATAGARAWA,DANDAGORO,INWALA - INWALA,20-02-03-001,1312
287,KATSINA,BATAGARAWA,DANDAGORO,MAKURDI - PRI SCHOOL,20-02-03-002,776
288,KATSINA,BATAGARAWA,DANDAGORO,TIGIRMIS - TIGIRMIS,20-02-03-003,701
289,KATSINA,BATAGARAWA,DANDAGORO,TSUNTSUWA - TSUNTSUWA,20-02-03-004,893
290,KATSINA,BATAGARAWA,DANDAGORO,DANDAGORO C. GARI - BEHIND JUMAAT MOSQ.,20-02-03-005,1217
291,KATSINA,BATAGARAWA,DANDAGORO,YAN NAIRA - PRI SCHOOL,20-02-03-006,617
292,KATSINA,BATAGARAWA,DANDAGORO,KAUKAI - KAUKAI,20-02-03-007,739
293,KATSINA,BATAGARAWA,DANDAGORO,MORAWA - MORAWA,20-02-03-008,749
294,KATSINA,BATAGARAWA,DANDAGORO,KABAKAWA S. GARI - KABAKAWA,20-02-03-009,694
295,KATSINA,BATAGARAWA,DANDAGORO,KAFFI - BEHIND DANDAGORO MOSQ.,20-02-03-010,1315
296,KATSINA,BATAGARAWA,DANDAGORO,TURAWA - MODEL P. SCHOOL,20-02-03-011,1569
297,KATSINA,BATAGARAWA,DANDAGORO,MAKAURACHI - MAUKARACHI,20-02-03-012,849
298,KATSINA,BATAGARAWA,DANDAGORO,DOKA,20-02-03-013,321
299,KATSINA,BATAGARAWA,DANDAGORO,KABUKAWA - KABUKAWA,20-02-03-014,761
300,KATSINA,BATAGARAWA,DANDAGORO,KATARDA - KATARDA,20-02-03-015,798
301,KATSINA,BATAGARAWA,DANDAGORO,YAR HAKA - YAR HAKA,20-02-03-016,616
302,KATSINA,BATAGARAWA,DANDAGORO,RUGAR DILA RUGAR DILA,20-02-03-017,402
303,KATSINA,BATAGARAWA,DANDAGORO,DANDAGORO S/G DANDAGORO,20-02-03-018,2066
304,KATSINA,BATAGARAWA,DANDAGORO,INWALA 'B' K/GIDAN M/UNG. DANJUME,20-02-03-019,24
305,KATSINA,BATAGARAWA,DANDAGORO,TSUNTSUWA - TSUNTSUWA HEALTH CLINIC,20-02-03-020,03
306,KATSINA,BATAGARAWA,DANDAGORO,DANDAGORO C/GARI OPP. JUMA'AT MOSQUE,20-02-03-021,43
307,KATSINA,BATAGARAWA,DANDAGORO,KAFFI B DANDAGORO 'B' DANDAGORO MOSQUE K/G SADA AMADI,20-02-03-022,21
308,KATSINA,BATAGARAWA,DANDAGORO,KAFFI C DANDAGORO 'C' B/DANDAGORO K/G MAIKUDI,20-02-03-023,175
309,KATSINA,BATAGARAWA,DANDAGORO,TURAWA MODEL PRI. SCH. 'B',20-02-03-024,08
310,KATSINA,BATAGARAWA,DANDAGORO,TURAWA MODEL PRI. SCH. 'C',20-02-03-025,50
311,KATSINA,BATAGARAWA,DANDAGORO,MAKAURACHI - MAKAURACHI 'B',20-02-03-026,48
312,KATSINA,BATAGARAWA,DANDAGORO,"BAYAN LIYAFA, K/G MAI UNG. SHAHADA OPEN SPACE",20-02-03-027,13
313,KATSINA,BATAGARAWA,DANDAGORO,DANDAGORO S/G DANDAGORO 'B',20-02-03-028,05
314,KATSINA,BATAGARAWA,DANDAGORO,DANDAGORO S/G DANDAGORO 'C',20-02-03-029,15
315,KATSINA,BATAGARAWA,DANDAGORO,DANDAGORO S/G DANDAGORO 'D',20-02-03-030,22
316,KATSINA,BATAGARAWA,AJIWA,BARHIN SHAISKAWA - BARHIN SHAISKAWA,20-02-04-001,732
317,KATSINA,BATAGARAWA,AJIWA,BARHIN TUDU - BARHIN TUDU,20-02-04-002,710
318,KATSINA,BATAGARAWA,AJIWA,BARHIN B/GIDA - BARHIN B.GIDA,20-02-04-003,512
319,KATSINA,BATAGARAWA,AJIWA,BARHIN MASAKAS- BARHIN MASAKA,20-02-04-004,857
320,KATSINA,BATAGARAWA,AJIWA,BANI IZA - BEHIND M/UNGUWA,20-02-04-005,435
321,KATSINA,BATAGARAWA,AJIWA,MAKERA - GIDAN TAKI,20-02-04-006,374
322,KATSINA,BATAGARAWA,AJIWA,MAJEN AUDU - MAJE,20-02-04-007,433
323,KATSINA,BATAGARAWA,AJIWA,MAJEN AUDU GARI  MAJE GARI,20-02-04-008,400
324,KATSINA,BATAGARAWA,AJIWA,AJIWA U/BATURE U/BATURE,20-02-04-009,731
325,KATSINA,BATAGARAWA,AJIWA,UNG GARBAS- UNG GARBAS,20-02-04-010,738
326,KATSINA,BATAGARAWA,AJIWA,YAR RAKUMMA - YAR RAKUMMA,20-02-04-011,613
327,KATSINA,BATAGARAWA,AJIWA,SABON GARIN - NAIRA - SABON GARIN-NAIRA,20-02-04-012,616
328,KATSINA,BATAGARAWA,AJIWA,AJIWA KURTUFA - AJIWA KURTUFA,20-02-04-013,555
329,KATSINA,BATAGARAWA,AJIWA,SHAGUMBA - SHAGUMBA,20-02-04-014,626
330,KATSINA,BATAGARAWA,AJIWA,AJIWA SHAGUMBA - CIKIN GARI,20-02-04-015,413
331,KATSINA,BATAGARAWA,AJIWA,KURTUFA - G/MAI UNGUWA,20-02-04-016,590
332,KATSINA,BATAGARAWA,AJIWA,SHAIRI - SHAIRI,20-02-04-017,367
333,KATSINA,BATAGARAWA,AJIWA,SHANTALI- SHANTALI,20-02-04-018,348
334,KATSINA,BATAGARAWA,AJIWA,AJIWA GARI - AJIWA GARI,20-02-04-019,564
335,KATSINA,BATAGARAWA,AJIWA,AJIWA SHANTAU - UNG LIMAN,20-02-04-020,366
336,KATSINA,BATAGARAWA,AJIWA,BANI IZA GARI - B/IZA GARI,20-02-04-021,394
337,KATSINA,BATAGARAWA,AJIWA,MAKERA /  UNG. / LINGU MAKERA,20-02-04-022,348
338,KATSINA,BATAGARAWA,AJIWA,SHAGUMBA - SHAGUMBA O.S,20-02-04-023,415
339,KATSINA,BATAGARAWA,AJIWA,AJIWA - AJIWA GARI O.S.,20-02-04-024,520
340,KATSINA,BATAGARAWA,AJIWA,BARHIM HOUSING ESTATE PRI. SCH.,20-02-04-025,54
341,KATSINA,BATAGARAWA,TSANNI,KOFAR FADA - KOFAR FADA,20-02-05-001,917
342,KATSINA,BATAGARAWA,TSANNI,TSANNI NORHT TSANNI NORTH,20-02-05-002,1160
343,KATSINA,BATAGARAWA,TSANNI,MAI LALLE - MAI LALLE,20-02-05-003,698
344,KATSINA,BATAGARAWA,TSANNI,MAKANTANAWA - MAKANTAWA,20-02-05-004,281
345,KATSINA,BATAGARAWA,TSANNI,ALALE - ALALE,20-02-05-005,284
346,KATSINA,BATAGARAWA,TSANNI,RAHAJE - RAHAJE,20-02-05-006,911
347,KATSINA,BATAGARAWA,TSANNI,KUNDU WAJE - KUNDU WAJE,20-02-05-007,321
348,KATSINA,BATAGARAWA,TSANNI,YARBARZA - YARBARZA,20-02-05-008,765
349,KATSINA,BATAGARAWA,TSANNI,TSANNI- TSANNI,20-02-05-009,987
350,KATSINA,BATAGARAWA,TSANNI,RUGOJI - RUGOJI,20-02-05-010,682
351,KATSINA,BATAGARAWA,TSANNI,MARNA KOFAR AREWA,20-02-05-011,06
352,KATSINA,BATAGARAWA,TSANNI,TSANNI NORTH - TSANNI NORTH 'B',20-02-05-012,02
353,KATSINA,BATAGARAWA,TSANNI,RAHAJE ALKALAWA,20-02-05-013,30
354,KATSINA,BATAGARAWA,TSANNI,YARBARZA DISPENSARY,20-02-05-014,00
355,KATSINA,BATAGARAWA,TSANNI,TSANNI - TSANNI 'B',20-02-05-015,03
356,KATSINA,BATAGARAWA,JINO,JINO MAGUMI - JINO GARI,20-02-06-001,179
357,KATSINA,BATAGARAWA,JINO,JINO - JINO O.S,20-02-06-002,592
358,KATSINA,BATAGARAWA,JINO,SABON GARIN YAHUZA S/G/YAHUZA,20-02-06-003,792
359,KATSINA,BATAGARAWA,JINO,YAR SHANYA YAR SHANYA,20-02-06-004,882
360,KATSINA,BATAGARAWA,JINO,INWALA - INWALA O.S,20-02-06-005,667
361,KATSINA,BATAGARAWA,JINO,BANBAMI - BANBAMI O.S.,20-02-06-006,663
362,KATSINA,BATAGARAWA,JINO,BABBAR RUGA - B/RUGA O.S,20-02-06-007,443
363,KATSINA,BATAGARAWA,JINO,JANGEFE-JNAGEFE,20-02-06-008,791
364,KATSINA,BATAGARAWA,JINO,KEWA - KEWA O.S,20-02-06-009,396
365,KATSINA,BATAGARAWA,JINO,GANGARA - GANGARA,20-02-06-010,610
366,KATSINA,BATAGARAWA,JINO,MARMARA - MARMARA,20-02-06-011,652
367,KATSINA,BATAGARAWA,JINO,KEWA DAN AISHA KEWA D/AISHA,20-02-06-012,267
368,KATSINA,BATAGARAWA,JINO,JAN GEFE - JANGEFI,20-02-06-013,954
369,KATSINA,BATAGARAWA,JINO,MATAWALLE OPEN SPACE,20-02-06-014,00
370,KATSINA,BATAGARAWA,JINO,MAKERA OPEN SPACE,20-02-06-015,00
371,KATSINA,BATAGARAWA,JINO,JANGEFE UNG. YAMMA KANKARE OPEN SPACE,20-02-06-016,04
372,KATSINA,BATAGARAWA,JINO,INWALA JANGEFE FANFO KUSA DA MASALLACHI OPEN SPACE,20-02-06-017,25
373,KATSINA,BATAGARAWA,BARAWA,BARAWA NORTH - BARAWA N.,20-02-07-001,633
374,KATSINA,BATAGARAWA,BARAWA,SHIBDAWA - DISPENSARY,20-02-07-002,662
375,KATSINA,BATAGARAWA,BARAWA,BARAWA GARI - KGMAI UNG,20-02-07-003,944
376,KATSINA,BATAGARAWA,BARAWA,GYARWE - SALIHAWA P.S,20-02-07-004,487
377,KATSINA,BATAGARAWA,BARAWA,ZORI - ZORI GARI,20-02-07-005,424
378,KATSINA,BATAGARAWA,BARAWA,YARGIGO - KG MAI UNG,20-02-07-006,358
379,KATSINA,BATAGARAWA,BARAWA,UNG/M-GOJE - UNG M.GOJE,20-02-07-007,407
380,KATSINA,BATAGARAWA,BARAWA,BARAWA SALIHAWA - BARAWA SALIHAWA,20-02-07-008,330
381,KATSINA,BATAGARAWA,BARAWA,BARAWA EAST - BARAWA E.,20-02-07-009,622
382,KATSINA,BATAGARAWA,BARAWA,YAR RIMAYE  - YAR RIMAYE,20-02-07-010,846
383,KATSINA,BATAGARAWA,BARAWA,BARAWA GARI K/G MAI UNG. HUSSAINI,20-02-07-011,02
384,KATSINA,BATAGARAWA,BARAWA,MONON YAN KWANA R.,20-02-07-012,01
385,KATSINA,BATAGARAWA,BAKIYAWA,INTOTSA - TASHAR BKLUYAWA,20-02-08-001,599
386,KATSINA,BATAGARAWA,BAKIYAWA,BAKIYAWA GARI - BAK.PRI SCHOOL,20-02-08-002,1278
387,KATSINA,BATAGARAWA,BAKIYAWA,KWAINA - KWAINA,20-02-08-003,598
388,KATSINA,BATAGARAWA,BAKIYAWA,BAKIYAWA A - BAKIYAWA O.S,20-02-08-004,738
389,KATSINA,BATAGARAWA,BAKIYAWA,BAKIYAWA -BAKIYAWA,20-02-08-005,806
390,KATSINA,BATAGARAWA,BAKIYAWA,LALLABA - LALLABA O.S,20-02-08-006,451
391,KATSINA,BATAGARAWA,BAKIYAWA,MAJEN DOLE,20-02-08-007,666
392,KATSINA,BATAGARAWA,BAKIYAWA,YANGEMU - YAN-GEMU,20-02-08-008,550
393,KATSINA,BATAGARAWA,BAKIYAWA,KORE - KORE,20-02-08-009,862
394,KATSINA,BATAGARAWA,BAKIYAWA,KWARIN MAI KOTSO - KWARI M.W,20-02-08-010,463
395,KATSINA,BATAGARAWA,BAKIYAWA,KAINAWA - KAINAWA,20-02-08-011,450
396,KATSINA,BATAGARAWA,BAKIYAWA,S.G. LALLALUBA - SG,20-02-08-012,407
397,KATSINA,BATAGARAWA,BAKIYAWA,S. G. BAKIYAWA O. S.,20-02-08-013,605
398,KATSINA,BATAGARAWA,BAKIYAWA,BAKIYAWA PRI. SCH. 'B',20-02-08-014,02
399,KATSINA,BATAGARAWA,BAKIYAWA,BAKIYAWA KWANAR DAN HAYYU,20-02-08-015,00
400,KATSINA,BATAGARAWA,BAKIYAWA,BAKIYAWA SOLAR MAKIYAYI,20-02-08-016,02
401,KATSINA,BATAGARAWA,BAKIYAWA,KORE - KORE 'B',20-02-08-017,03
402,KATSINA,BATAGARAWA,KAYAUKI,KAYAUKI A - KAYAUKI PRI-SCHOOL,20-02-09-001,1073
403,KATSINA,BATAGARAWA,KAYAUKI,KAYAUKI B,20-02-09-002,752
404,KATSINA,BATAGARAWA,KAYAUKI,"DAN,IYAU - DAN, IYAU",20-02-09-003,643
405,KATSINA,BATAGARAWA,KAYAUKI,UNG.SARYIN GYADA - UNG.SARKIN. GYADA,20-02-09-004,505
406,KATSINA,BATAGARAWA,KAYAUKI,YABANI - YABANI,20-02-09-005,710
407,KATSINA,BATAGARAWA,KAYAUKI,KADAFAWA - KADAFAWA,20-02-09-006,320
408,KATSINA,BATAGARAWA,KAYAUKI,ABARSHI - KAYAUKI ABARSHI,20-02-09-007,450
409,KATSINA,BATAGARAWA,KAYAUKI,S. KWALBATI - KWALBATI,20-02-09-008,450
410,KATSINA,BATAGARAWA,KAYAUKI,KUNHUNDU - -KURHUNDU,20-02-09-009,441
411,KATSINA,BATAGARAWA,KAYAUKI,YAR SHANYA - YAR SANYA,20-02-09-010,570
412,KATSINA,BATAGARAWA,KAYAUKI,KUTUBI - KUTUBI,20-02-09-011,502
413,KATSINA,BATAGARAWA,KAYAUKI,BARDAR KUSADA - BARDAR KUSUDA,20-02-09-012,638
414,KATSINA,BATAGARAWA,KAYAUKI,BARDAR MURTALA - BARDAR MURTALA,20-02-09-013,561
415,KATSINA,BATAGARAWA,KAYAUKI,MUSAWA - MUSAWA,20-02-09-014,517
416,KATSINA,BATAGARAWA,KAYAUKI,KATOGE - KATOGE,20-02-09-015,467
417,KATSINA,BATAGARAWA,KAYAUKI,KAYAUKI GARI 'B' 2 UNG. LATE SARKIN ASKA,20-02-09-016,07
418,KATSINA,BATAGARAWA,YARGAMJI,ALMUN JAMAA - ALMUN  JAMA'A ,20-02-10-001,396
419,KATSINA,BATAGARAWA,YARGAMJI,ZAGANDO A ZANGANDO 'A',20-02-10-002,826
420,KATSINA,BATAGARAWA,YARGAMJI,YAR GAMJI -YARGAMJI,20-02-10-003,1349
421,KATSINA,BATAGARAWA,YARGAMJI,KUFANTARNO - KUFAN TARNO,20-02-10-004,190
422,KATSINA,BATAGARAWA,YARGAMJI,TARNO - PRI SCH.,20-02-10-005,579
423,KATSINA,BATAGARAWA,YARGAMJI,TABKIN ALMU - PRI SCH.,20-02-10-006,579
424,KATSINA,BATAGARAWA,YARGAMJI,SABARU - SABARU,20-02-10-007,430
425,KATSINA,BATAGARAWA,YARGAMJI,YAN BUTU - YAN BUTU O.S,20-02-10-008,507
426,KATSINA,BATAGARAWA,YARGAMJI,ZANGANDO A. ZANGANDO 'B',20-02-10-009,511
427,KATSINA,BATAGARAWA,YARGAMJI,ZANGANDO - ZANGANDO 'B' 2,20-02-10-010,14
428,KATSINA,BATAGARAWA,YARGAMJI,YAR GAMJI GARI ASIBITI,20-02-10-011,01
429,KATSINA,BATSARI,BATSARI,UNG SARKI/TV CENTRE,20-03-01-001,1529
430,KATSINA,BATSARI,BATSARI,UNG A. LAWAL/MODEL PRI SCH.,20-03-01-002,698
431,KATSINA,BATSARI,BATSARI,UNG GWANDA/K/G/ MAI UNG.,20-03-01-003,1113
432,KATSINA,BATSARI,BATSARI,UNG MAGAJI/K/G MAGAJI,20-03-01-004,920
433,KATSINA,BATSARI,BATSARI,LEKO/K/G MAI UNG,20-03-01-005,912
434,KATSINA,BATSARI,BATSARI,UNG MALAMAI/K.G MAI UNG,20-03-01-006,700
435,KATSINA,BATSARI,BATSARI,UNG SOLI/K.G MAI UNG,20-03-01-007,708
436,KATSINA,BATSARI,BATSARI,UNG A. JIBO/K.G. ALH.  AJIBO,20-03-01-008,861
437,KATSINA,BATSARI,BATSARI,SALI HAWAR DAKAUNA/K.M. UNG,20-03-01-009,521
438,KATSINA,BATSARI,BATSARI,TUDUN MODI. / PRI SCH.,20-03-01-010,497
439,KATSINA,BATSARI,BATSARI,WATAN GADIYA/PRI SCH.,20-03-01-011,377
440,KATSINA,BATSARI,BATSARI,YASORE/PRI SCH.,20-03-01-012,929
441,KATSINA,BATSARI,BATSARI,BIYA - KI - KWANA/K.G MAI UNG,20-03-01-013,326
442,KATSINA,BATSARI,BATSARI,KATSALLE/K.G MAI UNG,20-03-01-014,685
443,KATSINA,BATSARI,BATSARI,GARIN DUTSE/PRI. SCH.,20-03-01-015,990
444,KATSINA,BATSARI,BATSARI,UNG ALKALI/GDSS BATSARI,20-03-01-016,1568
445,KATSINA,BATSARI,BATSARI,UNG HARDO/K.G. MAI UNG,20-03-01-017,1277
446,KATSINA,BATSARI,BATSARI,KWARIN FAGGO/K/G MAI UNG,20-03-01-018,614
447,KATSINA,BATSARI,BATSARI,TSOHUWAR TASHA/K.G.A. BAWALE,20-03-01-019,836
448,KATSINA,BATSARI,BATSARI,KWALBATI BABBA/KWALBATI,20-03-01-020,618
449,KATSINA,BATSARI,BATSARI,DAY SEC/G.D.S.S.,20-03-01-021,1267
450,KATSINA,BATSARI,BATSARI,KARAMAR ASIBITI/DISPENSARY,20-03-01-022,822
451,KATSINA,BATSARI,BATSARI,GARIN DUTSE / OPEN SPACE,20-03-01-023,1010
452,KATSINA,BATSARI,BATSARI,UNGUWAR SARKI I/ BABBAR MAKARANTA,20-03-01-024,44
453,KATSINA,BATSARI,BATSARI,UNGUWAR SARKI II/VETENARY,20-03-01-025,74
454,KATSINA,BATSARI,BATSARI,WATER BOARD/KTSTA BATSARI,20-03-01-026,44
455,KATSINA,BATSARI,BATSARI,BABBA YARA/ PHC BATSARI,20-03-01-027,29
456,KATSINA,BATSARI,BATSARI,MATA MULKI/ PILOT PRI.SCH,20-03-01-028,15
457,KATSINA,BATSARI,BATSARI,UNGUWAR DANFARAKA/BEDI OPP. ABBATUWA,20-03-01-029,15
458,KATSINA,BATSARI,BATSARI,SABON GARIN YASORE/PRI. SCH,20-03-01-030,02
459,KATSINA,BATSARI,BATSARI,DANWAIRE/CGSS DANWAIRE,20-03-01-031,41
460,KATSINA,BATSARI,BATSARI,UNGUWAR ALKALI I/GDJSS BATSARI,20-03-01-032,17
461,KATSINA,BATSARI,BATSARI,UNGUWAR ALKALI II/GDJSS BATSARI,20-03-01-033,16
462,KATSINA,BATSARI,BATSARI,UNGUWAR DABO ALIYU/ TSANGAYA PRI. SCH,20-03-01-034,60
463,KATSINA,BATSARI,BATSARI,BABBAR TASHA/ MOTOR PARK,20-03-01-035,00
464,KATSINA,BATSARI,BATSARI,UNGUWAR DANBABA/OLD NEPA SHOPPING COMPLEX,20-03-01-036,05
465,KATSINA,BATSARI,BATSARI,DAY SECONDARY SCHOOL I/ GDSS BATSARI,20-03-01-037,06
466,KATSINA,BATSARI,BATSARI,MAGAMA/PRI. SCH. MAGAMA,20-03-01-038,80
467,KATSINA,BATSARI,BATSARI,KARAMAR ASIBITI I/EDU. AND SOC. DEPT,20-03-01-039,23
468,KATSINA,BATSARI,BATSARI,KATOGE/PHC KATOGE,20-03-01-040,30
469,KATSINA,BATSARI,MANAWA,GOBIRAWA/K.G MAI UNGUWA,20-03-02-001,430
470,KATSINA,BATSARI,MANAWA,KABOBIN ANARUWA K/G MAI UNGWA,20-03-02-002,511
471,KATSINA,BATSARI,MANAWA,TSUGUNNI/K.G MAIUNGUWA,20-03-02-003,442
472,KATSINA,BATSARI,MANAWA,DUBA/K.G. MAIUNGUWA,20-03-02-004,588
473,KATSINA,BATSARI,MANAWA,UNG LIMAN DUBA/KG LIMAN,20-03-02-005,701
474,KATSINA,BATSARI,MANAWA,GARIN WAZIRI/KG MAI UNGUWA,20-03-02-006,323
475,KATSINA,BATSARI,MANAWA,DANGEZA/TV. CENTRE,20-03-02-007,601
476,KATSINA,BATSARI,MANAWA,DUBA.UNG LIMAN/KG.LIMAN,20-03-02-008,721
477,KATSINA,BATSARI,MANAWA,BATSARIN ALHAJI/KG. MAI UNGWA,20-03-02-009,566
478,KATSINA,BATSARI,MANAWA,TASHAR MODIBBO/KG MAI UNGWA,20-03-02-010,386
479,KATSINA,BATSARI,MANAWA,KOFA/PRIMARY SCHOOL,20-03-02-011,475
480,KATSINA,BATSARI,MANAWA,HUSHIN BUKU/K.G MAI UNGUWA,20-03-02-012,426
481,KATSINA,BATSARI,MANAWA,MANAWA PRIMARY SCHOOL,20-03-02-013,581
482,KATSINA,BATSARI,MANAWA,SHADAGORA/KG. MAI UNGUWA,20-03-02-014,351
483,KATSINA,BATSARI,MANAWA,DANGEZA II / T. V. CENTRE,20-03-02-015,474
484,KATSINA,BATSARI,WAGINI,WAGINI NORTH/K.G M/UNG,20-03-03-001,764
485,KATSINA,BATSARI,WAGINI,WAGINI SOUTH/T.V. CENTRE,20-03-03-002,686
486,KATSINA,BATSARI,WAGINI,WAGINI EAST/PRI.SCH.,20-03-03-003,831
487,KATSINA,BATSARI,WAGINI,WAGINI WEST/K/G M.UNG,20-03-03-004,683
488,KATSINA,BATSARI,WAGINI,UNG. MATI/K/G M. UNG,20-03-03-005,855
489,KATSINA,BATSARI,WAGINI,GARIN HAMBAMA/K.G. M. UNG,20-03-03-006,269
490,KATSINA,BATSARI,WAGINI,TULLUWA/K.G. MAI GARI,20-03-03-007,453
491,KATSINA,BATSARI,WAGINI,DAURAWA/PR. SCH.,20-03-03-008,602
492,KATSINA,BATSARI,WAGINI,GARIN AJIYA/YARA,20-03-03-009,842
493,KATSINA,BATSARI,WAGINI,KASAI WEST/P.S,20-03-03-010,833
494,KATSINA,BATSARI,WAGINI,KASAI/EAST/K/G MAI UNG,20-03-03-011,945
495,KATSINA,BATSARI,WAGINI,DANTUDU/PR.SCH.,20-03-03-012,915
496,KATSINA,BATSARI,WAGINI,GARIN DODO/PR SCHOOL,20-03-03-013,773
497,KATSINA,BATSARI,WAGINI,DAN-IYA/.K.G M/UNG,20-03-03-014,547
498,KATSINA,BATSARI,WAGINI,UNG. MAIWAKE/DISPENSARY,20-03-03-015,404
499,KATSINA,BATSARI,WAGINI,GIGINYU/K/G MAI UNG,20-03-03-016,355
500,KATSINA,BATSARI,WAGINI,MARADI,20-03-03-017,02
501,KATSINA,BATSARI,WAGINI,WAGINI EAST I/ PRI. SCH,20-03-03-018,06
502,KATSINA,BATSARI,WAGINI,UNGUWAR MATI I/ DANBEDI NEAR CHEMIST SHOP,20-03-03-019,00
503,KATSINA,BATSARI,WAGINI,GIDIDI/YARA,20-03-03-020,01
504,KATSINA,BATSARI,WAGINI,UNGUWAR TELA/YARA GINDIN BEDI,20-03-03-021,00
505,KATSINA,BATSARI,WAGINI,UNGUWAR GANGARE/ YARA,20-03-03-022,00
506,KATSINA,BATSARI,WAGINI,DANTUDU I/PRI. SCH,20-03-03-023,00
507,KATSINA,BATSARI,WAGINI,GARIN DODO I/ PRI. SCH,20-03-03-024,00
508,KATSINA,BATSARI,ABADAU/KAGARA,JATAKA/KG. MAIUNGUWA,20-03-04-001,439
509,KATSINA,BATSARI,ABADAU/KAGARA,ABADAU/PRIMARY SCHOOL,20-03-04-002,492
510,KATSINA,BATSARI,ABADAU/KAGARA,SHIRGI SOUTH/TV CENTRE,20-03-04-003,528
511,KATSINA,BATSARI,ABADAU/KAGARA,SHIRGI NORTH/PRIMARY SCHOOL,20-03-04-004,473
512,KATSINA,BATSARI,ABADAU/KAGARA,DADIN KOWA/PRIMARY SCHOOL,20-03-04-005,897
513,KATSINA,BATSARI,ABADAU/KAGARA,TADETA/PRIMARY SCHOOL,20-03-04-006,805
514,KATSINA,BATSARI,ABADAU/KAGARA,TUDUN WADA TADETA/K.G MAIUNGUWA,20-03-04-007,434
515,KATSINA,BATSARI,ABADAU/KAGARA,JAMBALI/K.G. MAI UNGWA,20-03-04-008,394
516,KATSINA,BATSARI,ABADAU/KAGARA,TSABAWA/K.G. MAI UNGUWA,20-03-04-009,823
